PHRED	CADD-SV_score	CADD-SV-SR_score	CADD-SV-seqonly_score
45	0.9667	0.9663	0.7706
44	0.9664	0.9663	0.7675
43	0.9661	0.9661	0.7652
42	0.966	0.966	0.7634
41	0.9659	0.9659	0.7591
40	0.9659	0.9656	0.757
39	0.9657	0.9655	0.7554
38	0.9656	0.9654	0.7539
37	0.9652	0.9652	0.7519
36	0.965	0.965	0.7506
35	0.9647	0.9647	0.7488
34	0.9641	0.9643	0.7456
33	0.9637	0.9638	0.7432
32	0.9634	0.9631	0.7411
31	0.9629	0.9625	0.739
30	0.9627	0.9621	0.7375
29.9	0.9627	0.9621	0.7372
29.8	0.9627	0.9621	0.7371
29.7	0.9626	0.962	0.7368
29.6	0.9626	0.9619	0.7363
29.5	0.9625	0.9617	0.7361
29.4	0.9624	0.9616	0.7359
29.3	0.9624	0.9616	0.7359
29.2	0.9622	0.9616	0.7353
29.1	0.9621	0.9614	0.7347
29.0	0.962	0.9613	0.7345
28.9	0.962	0.9612	0.7338
28.8	0.9619	0.9611	0.7334
28.7	0.9619	0.9611	0.7329
28.6	0.9618	0.961	0.7325
28.5	0.9617	0.961	0.7319
28.4	0.9616	0.9608	0.7316
28.3	0.9616	0.9608	0.7313
28.2	0.9614	0.9606	0.7307
28.1	0.9614	0.9605	0.7303
28.0	0.9613	0.9604	0.7301
27.9	0.9612	0.9604	0.7299
27.8	0.9611	0.9604	0.7298
27.7	0.961	0.9603	0.7293
27.6	0.961	0.9602	0.7286
27.5	0.9608	0.9601	0.7283
27.4	0.9608	0.96	0.728
27.3	0.9607	0.9599	0.7276
27.2	0.9607	0.9599	0.7274
27.1	0.9606	0.9597	0.7269
27.0	0.9604	0.9595	0.7266
26.9	0.9603	0.9595	0.7261
26.8	0.9602	0.9594	0.7255
26.7	0.9601	0.9592	0.725
26.6	0.96	0.9591	0.7248
26.5	0.96	0.959	0.7244
26.4	0.9599	0.959	0.7241
26.3	0.9597	0.9588	0.7238
26.2	0.9596	0.9588	0.7234
26.1	0.9594	0.9587	0.723
26.0	0.9593	0.9586	0.7226
25.9	0.9592	0.9585	0.7225
25.8	0.9591	0.9583	0.7217
25.7	0.9591	0.9582	0.7211
25.6	0.9589	0.958	0.7206
25.5	0.9588	0.9579	0.7199
25.4	0.9587	0.9578	0.7195
25.3	0.9586	0.9578	0.7188
25.2	0.9584	0.9576	0.7183
25.1	0.9582	0.9575	0.7179
25.0	0.9581	0.9573	0.7176
24.9	0.958	0.9571	0.7173
24.8	0.9578	0.957	0.7168
24.7	0.9576	0.9569	0.7165
24.6	0.9575	0.9567	0.7158
24.5	0.9573	0.9566	0.7154
24.4	0.9572	0.9565	0.7148
24.3	0.9571	0.9563	0.7144
24.2	0.957	0.9562	0.7138
24.1	0.9568	0.9561	0.7131
24.0	0.9567	0.956	0.713
23.9	0.9565	0.9558	0.7128
23.8	0.9564	0.9556	0.7123
23.7	0.9562	0.9554	0.7116
23.6	0.9559	0.9552	0.711
23.5	0.9557	0.955	0.7106
23.4	0.9556	0.9548	0.71
23.3	0.9555	0.9547	0.7094
23.2	0.9552	0.9544	0.7089
23.1	0.955	0.9542	0.7085
23.0	0.9547	0.9539	0.7081
22.9	0.9544	0.9538	0.7074
22.8	0.954	0.9536	0.7067
22.7	0.9539	0.9534	0.7061
22.6	0.9536	0.9531	0.7054
22.5	0.9534	0.9529	0.7049
22.4	0.9531	0.9527	0.7044
22.3	0.9529	0.9525	0.704
22.2	0.9526	0.9521	0.7033
22.1	0.9524	0.9519	0.7027
22.0	0.9521	0.9516	0.7021
21.9	0.952	0.9512	0.7016
21.8	0.9517	0.9509	0.7008
21.7	0.9515	0.9505	0.7003
21.6	0.9514	0.95	0.6998
21.5	0.9511	0.9497	0.6992
21.4	0.9506	0.9495	0.6984
21.3	0.9503	0.9491	0.6977
21.2	0.9499	0.9489	0.697
21.1	0.9496	0.9486	0.6964
21.0	0.9493	0.9482	0.6955
20.9	0.9489	0.9477	0.695
20.8	0.9485	0.9474	0.6942
20.7	0.9482	0.9469	0.6936
20.6	0.9478	0.9464	0.693
20.5	0.9473	0.9461	0.6924
20.4	0.9467	0.9454	0.6916
20.3	0.9463	0.9449	0.6911
20.2	0.9456	0.9443	0.6904
20.1	0.9452	0.9439	0.6897
20.0	0.9447	0.9435	0.6895
19.99	0.9446	0.9435	0.6894
19.98	0.9446	0.9434	0.6894
19.97	0.9445	0.9434	0.6893
19.96	0.9444	0.9433	0.6893
19.95	0.9444	0.9433	0.6892
19.94	0.9443	0.9432	0.6891
19.93	0.9443	0.9431	0.689
19.92	0.9443	0.9431	0.6889
19.91	0.9441	0.9429	0.6889
19.90	0.944	0.9428	0.6888
19.89	0.9439	0.9428	0.6887
19.88	0.9438	0.9427	0.6887
19.87	0.9438	0.9426	0.6887
19.86	0.9437	0.9426	0.6886
19.85	0.9436	0.9425	0.6885
19.84	0.9435	0.9425	0.6884
19.83	0.9435	0.9425	0.6883
19.82	0.9434	0.9424	0.6883
19.81	0.9434	0.9423	0.6883
19.80	0.9433	0.9422	0.6883
19.79	0.9432	0.9421	0.6882
19.78	0.9431	0.942	0.6881
19.77	0.943	0.9419	0.6881
19.76	0.9429	0.9419	0.688
19.75	0.9428	0.9418	0.6879
19.74	0.9428	0.9418	0.6878
19.73	0.9427	0.9418	0.6877
19.72	0.9427	0.9417	0.6877
19.71	0.9426	0.9414	0.6876
19.70	0.9426	0.9414	0.6874
19.69	0.9425	0.9413	0.6873
19.68	0.9424	0.9413	0.6873
19.67	0.9424	0.9412	0.6871
19.66	0.9423	0.9412	0.6871
19.65	0.9423	0.9411	0.687
19.64	0.9423	0.941	0.6869
19.63	0.9421	0.9409	0.6868
19.62	0.942	0.9409	0.6868
19.61	0.9419	0.9408	0.6867
19.60	0.9419	0.9407	0.6867
19.59	0.9418	0.9407	0.6866
19.58	0.9417	0.9406	0.6866
19.57	0.9416	0.9403	0.6865
19.56	0.9416	0.9403	0.6865
19.55	0.9415	0.9402	0.6864
19.54	0.9414	0.94	0.6863
19.53	0.9413	0.94	0.6862
19.52	0.9412	0.9399	0.6862
19.51	0.9412	0.9398	0.686
19.50	0.9411	0.9398	0.686
19.49	0.9411	0.9398	0.6859
19.48	0.941	0.9397	0.6859
19.47	0.941	0.9396	0.6858
19.46	0.9409	0.9396	0.6858
19.45	0.9408	0.9395	0.6858
19.44	0.9407	0.9395	0.6857
19.43	0.9407	0.9394	0.6857
19.42	0.9405	0.9393	0.6856
19.41	0.9405	0.9391	0.6856
19.40	0.9404	0.9391	0.6855
19.39	0.9403	0.939	0.6855
19.38	0.9403	0.9389	0.6854
19.37	0.9402	0.9387	0.6854
19.36	0.9401	0.9386	0.6852
19.35	0.94	0.9386	0.6852
19.34	0.9399	0.9385	0.6851
19.33	0.9398	0.9385	0.685
19.32	0.9398	0.9384	0.685
19.31	0.9396	0.9383	0.685
19.30	0.9396	0.9382	0.6848
19.29	0.9395	0.9381	0.6847
19.28	0.9395	0.938	0.6847
19.27	0.9394	0.938	0.6846
19.26	0.9392	0.9379	0.6845
19.25	0.9391	0.9378	0.6845
19.24	0.9391	0.9377	0.6842
19.23	0.939	0.9376	0.6842
19.22	0.9389	0.9375	0.6841
19.21	0.9388	0.9374	0.684
19.20	0.9387	0.9374	0.684
19.19	0.9387	0.9374	0.684
19.18	0.9386	0.9372	0.6839
19.17	0.9385	0.9371	0.6839
19.16	0.9385	0.9371	0.6838
19.15	0.9384	0.9369	0.6838
19.14	0.9382	0.9368	0.6835
19.13	0.9382	0.9367	0.6835
19.12	0.938	0.9366	0.6833
19.11	0.9378	0.9366	0.6833
19.10	0.9377	0.9365	0.6832
19.09	0.9377	0.9365	0.6831
19.08	0.9376	0.9364	0.6831
19.07	0.9375	0.9362	0.683
19.06	0.9373	0.9361	0.6829
19.05	0.9371	0.936	0.6829
19.04	0.9369	0.936	0.6828
19.03	0.9368	0.9359	0.6827
19.02	0.9368	0.9356	0.6827
19.01	0.9367	0.9356	0.6827
19.00	0.9366	0.9355	0.6827
18.99	0.9365	0.9355	0.6826
18.98	0.9364	0.9354	0.6826
18.97	0.9363	0.9353	0.6825
18.96	0.9362	0.9353	0.6825
18.95	0.9362	0.9352	0.6825
18.94	0.936	0.9351	0.6824
18.93	0.936	0.935	0.6824
18.92	0.9359	0.9349	0.6823
18.91	0.9358	0.9348	0.6823
18.90	0.9357	0.9346	0.6822
18.89	0.9356	0.9345	0.6821
18.88	0.9356	0.9344	0.6821
18.87	0.9355	0.9343	0.682
18.86	0.9354	0.9342	0.682
18.85	0.9352	0.9342	0.6819
18.84	0.9351	0.934	0.6818
18.83	0.935	0.9339	0.6817
18.82	0.9349	0.9338	0.6817
18.81	0.9349	0.9337	0.6817
18.80	0.9348	0.9336	0.6816
18.79	0.9346	0.9336	0.6815
18.78	0.9345	0.9335	0.6814
18.77	0.9345	0.9335	0.6813
18.76	0.9343	0.9334	0.6812
18.75	0.9342	0.933	0.6811
18.74	0.9342	0.933	0.6811
18.73	0.9341	0.9329	0.681
18.72	0.9339	0.9329	0.681
18.71	0.9338	0.9327	0.6809
18.70	0.9338	0.9326	0.6809
18.69	0.9337	0.9325	0.6808
18.68	0.9336	0.9324	0.6808
18.67	0.9336	0.9322	0.6807
18.66	0.9335	0.9321	0.6806
18.65	0.9334	0.932	0.6805
18.64	0.9332	0.932	0.6803
18.63	0.9331	0.9319	0.6802
18.62	0.933	0.9319	0.6801
18.61	0.9329	0.9318	0.6801
18.60	0.9328	0.9318	0.6801
18.59	0.9327	0.9316	0.68
18.58	0.9326	0.9315	0.68
18.57	0.9325	0.9314	0.6799
18.56	0.9325	0.9313	0.6799
18.55	0.9324	0.9312	0.6798
18.54	0.9323	0.931	0.6797
18.53	0.9321	0.931	0.6796
18.52	0.932	0.9309	0.6796
18.51	0.9319	0.9309	0.6796
18.50	0.9318	0.9308	0.6794
18.49	0.9317	0.9307	0.6794
18.48	0.9316	0.9306	0.6794
18.47	0.9316	0.9304	0.6793
18.46	0.9315	0.9304	0.6792
18.45	0.9314	0.9303	0.6792
18.44	0.9313	0.9303	0.6791
18.43	0.9313	0.93	0.6791
18.42	0.9312	0.9299	0.679
18.41	0.9312	0.9299	0.6789
18.40	0.9311	0.9299	0.6789
18.39	0.931	0.9298	0.6789
18.38	0.931	0.9296	0.6788
18.37	0.9309	0.9296	0.6788
18.36	0.9308	0.9295	0.6787
18.35	0.9307	0.9294	0.6787
18.34	0.9306	0.9293	0.6785
18.33	0.9306	0.9293	0.6785
18.32	0.9305	0.9292	0.6783
18.31	0.9305	0.929	0.6782
18.30	0.9304	0.929	0.6781
18.29	0.9303	0.9289	0.6781
18.28	0.9301	0.9287	0.6781
18.27	0.93	0.9286	0.678
18.26	0.93	0.9285	0.678
18.25	0.9299	0.9283	0.6779
18.24	0.9299	0.9283	0.6779
18.23	0.9298	0.9282	0.6778
18.22	0.9298	0.9281	0.6777
18.21	0.9297	0.928	0.6777
18.20	0.9297	0.9278	0.6776
18.19	0.9296	0.9278	0.6776
18.18	0.9295	0.9276	0.6774
18.17	0.9294	0.9275	0.6773
18.16	0.9293	0.9275	0.6772
18.15	0.9292	0.9275	0.6772
18.14	0.9291	0.9271	0.6772
18.13	0.929	0.927	0.6771
18.12	0.929	0.927	0.6771
18.11	0.9288	0.9269	0.6771
18.10	0.9288	0.9268	0.677
18.09	0.9286	0.9267	0.6769
18.08	0.9285	0.9266	0.6769
18.07	0.9285	0.9265	0.6768
18.06	0.9284	0.9265	0.6768
18.05	0.9283	0.9264	0.6767
18.04	0.9282	0.9262	0.6766
18.03	0.9281	0.926	0.6766
18.02	0.928	0.9258	0.6764
18.01	0.9278	0.9258	0.6764
18.00	0.9275	0.9256	0.6764
17.99	0.9274	0.9255	0.6763
17.98	0.9271	0.9255	0.6762
17.97	0.9271	0.9254	0.6762
17.96	0.927	0.9253	0.6762
17.95	0.9268	0.9251	0.6761
17.94	0.9267	0.925	0.6761
17.93	0.9266	0.9248	0.676
17.92	0.9265	0.9248	0.6759
17.91	0.9264	0.9246	0.6758
17.90	0.9263	0.9245	0.6757
17.89	0.9261	0.9244	0.6757
17.88	0.9261	0.9243	0.6756
17.87	0.9259	0.9242	0.6756
17.86	0.9258	0.9241	0.6755
17.85	0.9257	0.924	0.6754
17.84	0.9255	0.9239	0.6753
17.83	0.9253	0.9239	0.6752
17.82	0.9253	0.9238	0.6751
17.81	0.9253	0.9238	0.6751
17.80	0.925	0.9237	0.675
17.79	0.9248	0.9235	0.675
17.78	0.9247	0.9235	0.6749
17.77	0.9246	0.9234	0.6748
17.76	0.9243	0.9233	0.6747
17.75	0.9242	0.9231	0.6747
17.74	0.9241	0.923	0.6746
17.73	0.9238	0.9228	0.6745
17.72	0.9237	0.9228	0.6744
17.71	0.9236	0.9226	0.6743
17.70	0.9236	0.9225	0.6742
17.69	0.9235	0.9223	0.6742
17.68	0.9234	0.9222	0.6741
17.67	0.9234	0.9221	0.674
17.66	0.9233	0.9221	0.674
17.65	0.9232	0.922	0.6739
17.64	0.923	0.9219	0.6738
17.63	0.923	0.9219	0.6738
17.62	0.9229	0.9217	0.6737
17.61	0.9228	0.9216	0.6736
17.60	0.9226	0.9215	0.6736
17.59	0.9224	0.9214	0.6735
17.58	0.9224	0.9213	0.6734
